"","dim0","dim1"
"5001",0.0206273610417399,-0.163314697291351
"5002",-0.0718250235631351,-0.0433755781209385
"5004",-0.0511177457524845,0.0508508820500869
"5151",-0.245291808499054,0.153693702354211
"5152",-0.260440012679833,0.165789872716789
"5332",-0.331501926876613,0.254265199324287
"5337",-0.532436462332126,0.606941226202644
"5365",-0.630631855592036,0.669578346280001
"5488",-0.588231812951716,0.720355439246813
"5489",-0.857651704338925,0.674306807198262
"5591",-0.70039415397041,1.29275115798913
"5593",-0.812805167905748,1.34020821877624
"5604",-1.40931703093332,1.50347724087574
"5857",-0.653673166958388,1.57798262960129
"5858",-0.636916933428182,1.65197313005793
"5859",-0.555168249103756,1.94899486662087
"5863",-0.39367038786601,2.48097088911172
"5992",-0.355316622873276,0.267898516907307
"5993",-0.456283333149515,0.273298912890098
"5998",-1.22513122104981,0.256696720455252
"6081",-0.473733442535725,0.278974457218639
"6156",-0.344789699952619,0.307664557275294
"6180",-0.320071566024253,0.438739796498882
"6318",0.10387147531773,-0.0783191799960578
"6319",0.198028496130046,-0.00756735053753577
"6378",0.290645096578688,0.0560657056175863
"6404",1.18862624817497,0.581522235835123
"6416",1.3454627896068,0.671265484486391
"6526",0.351949752660048,0.109835677489271
"6542",0.59703140519793,0.289936767356999
"6543",0.609803519823939,0.302075111814979
"6556",0.647334461123708,0.323352215695791
"6578",0.747543019979667,0.3877758615029
"6608",0.388953637695402,0.148151016172231
"6656",0.113609009918745,-0.0373363055856807
"6657",0.135354636142603,0.0268448345798076
"6803",0.107357084922542,0.014497646246041
"6857",0.041042249166799,-0.42886999041225
"6858",0.0645946452274443,-0.514444519571035
"6859",0.110348125216742,-0.61330950872808
"6860",0.261596167085155,-0.738930758222726
"6863",0.641700487648281,-1.04658273731933
"6948",1.04036223128192,-1.38237764896898
"6971",1.14612728111666,-1.47069601669108
"7083",0.268032777000957,-0.745571239219039
"7272",0.0608628153066175,-0.517772344656787
"7273",0.132542393571044,-0.511415189148034
"7295",0.182732213787144,-0.532766165458535
"7345",0.236992421298633,-0.542138180533925
"7634",0.478093391173242,-0.445836194751761
"7644",3.88855363576377,0.164761833607673
"7651",4.1576902116837,0.317109373521752
"7652",4.10921201010859,0.30931354891594
"7684",4.1509090948456,0.287682763201494
"7685",3.9117787951644,0.294883140092986
"7749",-0.0120042007527698,-0.536016966742244
"7750",-0.106278040105304,-0.566377153579337
"7751",-0.199983279517393,-0.617157670209691
"7795",-0.480868119799698,-0.802713885449467
"8048",-0.381063195479905,-0.568440814133989
"8049",-0.581830741097396,-0.597218011620443
"8127",-0.614448289135267,-0.60343110616051
"8275",0.00269964348255612,-0.521561598020859
"8413",0.0342519988894241,-0.467455579057903
"8414",0.018110610559828,-0.523724723774084
"8416",0.0192013452737866,-0.524307742716113
"8498",-0.0033593949101795,-0.596915295006064
"8512",-0.0508846981232482,-0.770619944587378
"8514",-0.148969919473905,-0.809773816753974
"8515",-0.181559236130237,-0.83426261519664
"8530",-0.224920938674069,-0.871089808226037
"8712",-0.0544065636746427,-0.922798327351322
"8713",-0.0549706975780155,-0.932023431656177
"8778",-0.0534185185315112,-0.97347632501357
"8803",-0.0468033534194252,-1.19535044169566
"8825",0.0315151902772205,-0.505949851889614
"8826",0.0460105662295117,-0.501740099181224
"8827",0.0712581000470687,-0.492248048415751
"8828",0.0821168737348606,-0.489786186720665
"8857",0.047826454047365,-0.470522880514591
"8899",0.270192365202677,-0.463728579239026
"8911",0.436736628541545,-0.447549420699646
"9186",0.0387164677624763,-0.506897359934733
"9187",0.0354546880140387,-0.503404148729731
"9232",0.0603834228328188,-0.465916735767401
"9240",0.14451633487862,-0.454294739913454
"9283",0.0348568049646365,-0.515503816805201
"9425",0.0425293145502368,-0.528124103398521
"9472",-0.0832862957686141,-0.450188147759173
"9547",0.0641101751887335,-0.551473053752164
"9568",1.12136475378651,-2.1374853904145
"9610",0.00401139235660149,-0.556729429098829
"9646",0.0634836624941857,-0.591739402206948
"9722",-0.0675634480739775,-0.64889268180497
"9825",-0.263109351772542,-0.863299896727096
"9855",-0.834492536987844,-1.6110326270614
"9858",-1.167330669269,-2.03996304650241
"9891",-0.927420331567267,-1.73668248799851
