SequenceName	ClusterNumber
N460	-1
N137	-1
N36	1
N63	1
N309	-1
N627	-1
N560	2
N225	2
N719	2
N414	2
N344	2
N1088	2
N435	2
N166	2
N507	2
N1141	2
N534	2
N562	2
N700	2
N288	2
N295	2
N403	2
N568	2
N251	2
N643	2
N298	2
N237	2
N888	2
N901	2
N765	2
N882	2
N365	2
N1021	2
N30	2
N270	2
N55	2
N675	2
N393	2
N1074	2
N982	2
N1203	2
N1130	2
N263	2
N1149	2
N531	2
N94	2
N368	2
N787	2
N528	2
N1079	2
N51	2
N792	2
N26	3
N112	3
N998	3
N1146	3
N1191	3
N1013	3
N1017	3
N45	3
N116	3
N103	3
N183	3
N269	3
N248	3
N271	3
N623	3
N200	3
N443	3
N588	3
N447	3
N483	3
N1136	3
N307	3
N160	3
N221	3
N442	3
N785	3
N669	3
N318	3
N937	3
N477	4
N70	4
N466	4
N743	4
N350	4
N1177	4
N730	4
N757	4
N355	4
N939	4
N971	4
N717	4
N312	4
N526	4
N518	4
N539	4
N706	4
N1122	4
N1196	4
N1173	4
N1094	4
N876	4
N236	4
N1150	4
N826	4
N927	4
N448	4
N474	4
N275	4
N586	4
N663	4
N563	4
N576	4
N1226	4
N684	4
N1035	4
N991	5
N764	5
N515	5
N565	5
N651	5
N538	5
N1042	5
N741	5
N990	5
N612	5
N775	5
N615	5
N790	5
N255	5
N485	5
N122	5
N1006	5
N559	5
N1044	5
N805	6
N836	6
N635	6
N182	6
N1049	6
N458	6
N1093	6
N626	6
N61	6
N484	6
N445	6
N74	6
N906	6
N1052	6
N608	6
N487	6
N856	6
N1197	6
N336	6
N249	6
N633	6
N96	6
N163	6
N179	6
N564	6
N958	6
N1038	6
N216	6
N1230	6
N491	7
N1139	7
N481	8
N374	8
N149	8
N360	8
N29	8
N1046	8
N1181	8
N1225	8
N797	8
N419	8
N774	8
N73	8
N161	8
N551	8
N799	8
N1039	8
N334	8
N1233	8
N1250	8
N1138	8
N408	8
N702	8
N572	8
N139	8
N306	8
N1053	8
N1113	8
N773	8
N349	8
N480	8
N1118	8
N694	8
N584	8
N359	8
N81	8
N47	8
N543	9
N967	9
N1051	9
N194	9
N781	9
N902	9
N143	9
N928	9
N1244	9
N417	9
N966	9
N540	9
N597	9
N124	9
N1231	9
N79	9
N917	9
N420	9
N246	9
N78	9
N87	9
N1152	9
N755	9
N438	9
N1129	9
N832	9
N46	9
N1163	9
N512	9
N84	9
N853	9
N1147	9
N842	9
N210	9
N642	9
N1004	9
N621	9
N27	9
N1124	9
N1158	9
N709	9
N664	9
N869	9
N1200	9
N1116	9
N504	9
N276	9
N583	9
N332	9
N1045	9
N97	9
N250	9
N1061	9
N978	9
N1229	9
N911	9
N674	9
N807	9
N914	9
N95	9
N1207	9
N189	9
N320	9
N153	9
N761	9
N342	9
N290	9
N734	9
N566	9
N912	9
N662	9
N1033	9
N778	9
N946	9
N190	9
N658	9
N829	9
N834	9
N17	9
N427	9
N574	9
N535	9
N896	9
N68	9
N918	9
N688	9
N925	9
N222	9
N985	9
N441	9
N25	9
N265	9
N286	9
N99	9
N721	9
N837	9
N745	9
N500	9
N863	9
N865	9
N1014	9
N610	9
N174	9
N1112	9
N264	9
N932	9
N969	9
N488	9
N345	9
N801	9
N399	9
N1087	9
N1185	9
N508	9
N870	9
N451	9
N537	9
N570	9
N159	9
N811	9
N304	9
N93	9
N855	9
N947	9
N1249	9
N319	9
N261	9
N656	9
N1142	9
N907	9
N34	9
N273	9
N449	9
N554	9
N1190	9
N846	9
N72	9
N185	9
N12	9
N107	9
N606	9
N653	9
N425	9
N240	9
N40	9
N489	9
N366	9
N1092	9
N536	9
N109	9
N573	9
N289	9
N600	9
N146	9
N541	9
N1243	9
N15	9
N415	9
N936	9
N39	9
N321	9
N1080	9
N824	9
N1202	9
N1020	9
N1194	9
N60	9
N874	9
N768	9
N371	9
N157	9
N327	9
N433	9
N949	9
N1164	9
N1239	9
N770	9
N274	9
N175	9
N1178	9
N1172	9
N1084	9
N938	9
N556	9
N1065	9
N141	9
N361	9
N545	9
N155	9
N595	9
N1068	9
N364	9
N1211	9
N379	9
N592	9
N56	9
N696	9
N875	9
N331	9
N804	9
N585	9
N1174	9
N880	9
N884	9
N322	9
N707	9
N1062	9
N7	9
N198	9
N881	9
N293	9
N661	9
N382	9
N19	9
N704	9
N986	9
N744	9
N502	9
N1101	9
N673	9
N955	9
N375	9
N300	9
N2	9
N963	9
N979	9
N338	9
N212	9
N494	9
N1025	9
N277	9
N625	9
N1015	9
N492	9
N11	9
N170	9
N434	9
N557	9
N803	9
N748	9
N641	9
N1081	9
N780	9
N151	9
N974	9
N65	9
N231	9
N1110	9
N108	9
N324	9
N471	9
N516	9
N723	9
N1160	9
N644	9
N386	9
N822	9
N1107	9
N510	9
N872	9
N695	9
N795	9
N156	9
N920	9
N1210	9
N1242	9
N948	9
N1209	9
N889	9
N311	9
N506	9
N10	9
N681	9
N900	9
N1018	9
N1090	9
N1097	9
N691	9
N751	9
N233	9
N647	9
N418	9
N763	9
N1011	9
N892	9
N223	9
N423	9
N693	9
N291	9
N676	9
N1169	9
N201	9
N666	9
N827	9
N98	9
N762	9
N1128	9
N33	9
N473	9
N354	9
N333	9
N493	9
N908	9
N921	9
N323	9
N646	9
N722	9
N205	9
N469	9
N712	9
N1012	9
N996	9
N220	9
N638	9
N940	9
N725	9
N548	9
N346	9
N123	9
N930	9
N343	9
N1003	9
N1214	9
N106	9
N533	9
N569	9
N292	9
N620	9
N553	9
N429	9
N180	9
N1026	9
N356	9
N715	9
N800	9
N21	9
N167	9
N431	9
N703	9
N1054	9
N446	9
N209	9
N1057	9
N1106	9
N287	9
N69	9
N439	9
N1236	9
N660	9
N357	9
N1201	9
N279	9
N158	9
N195	9
N1105	9
N1010	9
N50	9
N259	9
N48	9
N352	9
N404	9
N655	9
N23	9
N953	9
N851	9
N169	9
N131	9
N1144	9
N1056	9
N1154	9
N1205	9
N1060	9
N657	9
N400	9
N777	9
N1036	9
N519	9
N66	9
N578	9
N377	9
N14	9
N197	9
N199	9
N577	9
N1005	9
N238	9
N871	9
N847	9
N988	9
N1161	9
N769	9
N328	9
N150	9
N798	9
N387	9
N690	9
N41	9
N776	9
N613	9
N667	9
N499	9
N22	9
N738	9
N1082	9
N594	9
N133	9
N634	9
N753	9
N1095	9
N1069	9
N668	9
N923	9
N1037	9
N739	9
N957	9
N126	9
N392	9
N241	9
N806	9
N115	9
N407	9
N1183	9
N369	9
N385	9
N465	9
N450	9
N1108	9
N843	9
N92	9
N111	9
N726	9
N977	9
N1086	9
N426	9
N282	9
N628	9
N817	9
N428	9
N232	9
N187	9
N624	9
N828	9
N64	9
N176	9
N268	9
N348	9
N184	9
N424	9
N278	9
N1029	9
N401	9
N677	9
N1103	9
N1167	9
N784	9
N486	9
N878	9
N718	9
N1091	9
N1189	9
N76	9
N629	9
N682	9
N1027	9
N1099	9
N794	9
N1184	9
N756	9
N759	9
N924	9
N396	9
N767	9
N37	9
N83	9
N1096	9
N88	9
N1198	9
N1100	9
N1180	9
N1140	9
N1232	9
N607	9
N956	9
N965	9
N505	9
N995	9
N1075	9
N214	9
N602	9
N713	9
N1041	9
N394	9
N1117	9
N579	9
N698	9
N258	9
N922	9
N639	9
N521	9
N38	9
N119	9
N850	9
