SequenceName	ClusterNumber
N1017	-1
N326	-1
N844	-1
N560	-1
N130	-1
N116	-1
N716	-1
N124	-1
N564	1
N450	1
N386	1
N890	1
N1044	1
N163	1
N231	1
N980	1
N1016	1
N652	1
N119	1
N1138	1
N1186	1
N1022	1
N803	1
N606	1
N63	1
N1190	1
N336	1
N784	1
N252	1
N342	1
N911	1
N1036	1
N689	1
N516	1
N695	1
N328	1
N1062	1
N436	1
N954	1
N155	1
N1023	1
N1249	1
N836	1
N849	1
N1233	1
N11	1
N665	1
N253	1
N966	1
N1087	1
N746	1
N541	1
N850	1
N976	1
N2	1
N120	1
N581	1
N561	1
N928	1
N926	1
N787	1
N964	1
N1143	1
N514	1
N774	1
N105	1
N434	1
N959	1
N103	1
N580	1
N845	1
N626	1
N813	1
N1021	1
N197	1
N19	1
N266	1
N48	1
N1005	1
N903	1
N1127	1
N74	1
N435	1
N1155	1
N628	1
N466	1
N397	1
N734	1
N1187	1
N417	1
N1209	1
N285	1
N72	1
N535	1
N895	1
N62	1
N1217	1
N353	1
N818	1
N728	1
N556	1
N1182	1
N449	1
N1248	1
N823	1
N1009	1
N1080	1
N613	1
N969	1
N672	1
N1158	1
N800	1
N1032	1
N790	1
N553	1
N134	1
N222	1
N802	1
N7	1
N321	1
N446	1
N624	1
N1195	1
N674	1
N271	1
N752	1
N169	1
N501	1
N250	1
N355	1
N1140	1
N49	1
N1019	1
N406	1
N530	1
N419	1
N559	1
N860	1
N936	1
N1037	1
N244	1
N81	1
N635	1
N517	1
N106	1
N297	1
N843	1
N448	1
N507	1
N542	1
N401	1
N444	1
N366	1
N639	1
N699	1
N1125	1
N29	1
N69	1
N1054	1
N228	1
N139	1
N432	1
N995	1
N109	1
N17	1
N1149	1
N205	1
N117	1
N691	1
N1053	1
N1085	1
N840	1
N453	1
N486	1
N1047	1
N719	1
N625	1
N724	1
N67	1
N88	1
N128	1
N1171	1
N788	1
N1041	1
N510	1
N607	1
N974	1
N1163	1
N114	1
N707	1
N563	1
N1235	1
N276	1
N1103	1
N651	1
N251	1
N654	1
N43	1
N780	1
N1076	1
N227	1
N636	1
N76	1
N905	1
N180	1
N334	1
N388	1
N384	1
N282	1
N703	1
N121	1
N913	1
N988	1
N1157	1
N340	1
N973	1
N985	1
N490	1
N831	1
N599	1
N745	1
N912	1
N679	1
N1024	1
N878	1
N1083	1
N811	1
N837	1
N1133	1
N181	1
N686	1
N747	1
N112	1
N203	1
N126	1
N30	1
N739	1
N372	1
N311	1
N141	1
N545	1
N1056	1
N991	1
N1119	1
N764	1
N909	1
N1091	1
N641	1
N693	1
N814	1
N85	1
N670	1
N371	1
N32	1
N958	1
N381	1
N763	1
N520	1
N1039	1
N331	1
N596	1
N700	1
N767	1
N663	1
N877	1
N47	1
N992	1
N519	1
N577	1
N279	1
N644	1
N58	1
N955	1
N1161	1
N1207	2
N786	2
N921	2
N792	2
N424	2
N565	2
N864	2
N185	2
N96	2
N812	2
N1000	2
N1215	2
N714	2
N1014	-1
N1212	3
N887	3
N950	3
N1112	3
N53	3
N249	3
N854	3
N592	3
N1033	3
N1250	3
N756	3
N111	3
N354	3
N867	3
N1093	3
N738	3
N1001	3
N1198	3
N1206	3
N370	3
N415	3
N296	3
N838	3
N842	3
N977	3
N751	3
N883	3
N547	3
N1089	3
N569	3
N761	3
N920	3
N1218	3
N1048	3
N223	3
N387	3
N1202	3
N771	3
N999	3
N1137	3
N383	3
N211	3
N1225	3
N270	3
N750	3
N206	3
N481	3
N961	3
N410	3
N821	3
N765	3
N1077	3
N104	3
N167	3
N192	3
N1185	3
N676	3
N418	3
N1008	3
N284	3
N602	3
N324	3
N735	3
N1224	3
N491	3
N464	3
N960	3
N1012	3
N1058	3
N1243	3
N142	3
N356	3
N153	3
N566	3
N396	3
N487	3
N430	3
N660	3
N189	4
N885	4
N876	4
N377	5
N38	5
N20	5
N165	5
