SequenceName	ClusterNumber
N1108	-1
N537	-1
N1166	-1
N85	1
N922	1
N951	-1
N1169	-1
N1062	-1
N226	2
N1162	2
N274	2
N384	2
N421	2
N748	2
N26	3
N265	3
N1233	3
N501	3
N151	4
N998	4
N379	5
N1138	5
N848	5
N335	5
N1032	5
N927	6
N463	6
N197	6
N417	6
N550	6
N531	6
N295	6
N389	6
N783	6
N1099	6
N1176	6
N581	6
N184	6
N1208	6
N364	6
N506	6
N452	6
N1129	6
N1046	6
N1222	6
N656	6
N1139	6
N1221	6
N191	6
N1095	6
N607	6
N1080	6
N733	6
N1037	6
N177	6
N257	6
N500	6
N415	6
N112	6
N1060	6
N874	6
N735	6
N545	6
N440	6
N865	6
N277	6
N566	7
N79	7
N251	7
N494	7
N1236	7
N1	7
N1205	7
N842	7
N1089	7
N924	7
N642	7
N769	7
N488	7
N443	7
N92	7
N1156	7
N688	7
N23	7
N713	7
N763	7
N394	7
N1028	7
N390	7
N332	7
N553	7
N647	7
N862	7
N1082	7
N315	7
N365	7
N1217	7
N1187	7
N395	7
N182	8
N897	8
N820	8
N168	8
N568	8
N465	8
N718	8
N81	8
N978	8
N1002	8
N312	8
N574	8
N1064	8
N21	8
N264	8
N75	8
N175	8
N1019	8
N1020	8
N1193	8
N789	9
N39	9
N358	9
N858	9
N554	9
N485	9
N414	9
N583	9
N832	9
N1246	9
N670	9
N1133	9
N409	9
N1240	9
N913	9
N454	9
N635	9
N59	9
N557	9
N968	9
N1043	9
N817	9
N153	9
N1207	9
N236	9
N726	9
N273	9
N70	9
N805	9
N864	9
N1248	9
N1209	9
N504	9
N519	9
N904	9
N82	9
N1243	9
N139	9
N392	9
N449	9
N195	9
N609	9
N161	9
N9	9
N622	9
N1150	9
N412	9
N1090	9
N305	9
N815	9
N638	9
N76	9
N773	9
N1137	9
N586	9
N705	9
N296	9
N162	9
N56	9
N309	9
N1148	9
N710	9
N222	9
N588	9
N1098	9
N275	9
N979	9
N174	9
N699	9
N406	9
N211	9
N1034	9
N1160	10
N232	10
N1214	10
N1023	10
N902	10
N989	10
N253	10
N1048	10
N221	10
N1194	10
N423	10
N400	10
N34	10
N460	10
N875	10
N786	10
N402	10
N1079	10
N780	10
N407	10
N781	10
N207	10
N1212	10
N807	10
N61	10
N193	10
N310	10
N686	10
N896	10
N74	10
N1190	10
N837	10
N1005	10
N228	10
N835	10
N1000	10
N12	10
N841	10
N491	10
N164	10
N810	10
N992	10
N912	10
N905	10
N792	10
N330	10
N1115	10
N1188	10
N1096	10
N591	10
N1074	10
N559	10
N343	10
N84	10
N1050	10
N19	10
N680	10
N1146	10
N751	10
N788	10
N898	10
N527	10
N787	10
N64	10
N562	10
N720	10
N876	10
N238	10
N973	10
N1178	10
N242	10
N1136	10
N426	10
N584	10
N1152	10
N91	10
N470	10
N1042	10
N1120	10
N404	10
N270	10
N637	10
N770	10
N648	10
N122	10
N16	10
N1153	10
N391	10
N608	10
N254	10
N617	10
N1054	10
N223	10
N22	10
N742	10
N895	10
N1165	10
N524	10
N659	10
N321	10
N724	10
N46	10
N605	10
N957	10
N186	10
N548	10
N753	10
N1191	10
N216	10
N956	10
N1112	10
N2	10
N499	10
N241	10
N776	10
N33	10
N801	10
N526	10
N811	10
N143	10
N547	10
N484	10
N677	10
N704	10
N1249	10
N930	10
N1021	10
N355	10
N645	10
N1163	10
N482	10
N337	10
N1179	10
N366	10
N523	10
N779	10
N675	10
N1197	10
N356	10
N433	10
N774	10
N138	10
N652	10
N1110	10
N114	10
N883	10
N910	10
N45	10
N1065	10
N267	10
N498	10
N160	10
N775	10
N664	10
N1086	10
N816	10
N1085	10
N1145	10
N852	10
N1223	10
N287	10
N292	10
N663	10
N214	10
N933	10
N1059	10
N17	10
N416	10
N15	10
N618	10
N110	10
N303	10
N1180	10
N1237	10
N359	10
N464	10
N351	10
N408	10
N480	10
N510	10
N819	10
N964	10
N1076	10
N1140	10
N1167	10
N11	10
N1238	10
N109	10
N578	10
N31	10
N1052	10
N1250	10
N234	10
N340	10
N564	10
N728	10
N861	10
N80	10
N558	10
N1087	10
N1151	10
N185	10
N1186	10
N1144	10
N777	10
N822	10
N691	10
N261	10
N604	10
N623	10
N1111	10
N1149	10
N245	10
N262	10
N1069	10
N434	10
N227	10
N318	10
N1200	10
N1102	10
N346	10
N188	10
N101	10
N131	10
N362	10
N1242	10
N986	10
N854	10
N1070	10
N206	10
N489	10
N505	10
N879	10
N1008	10
N1117	10
N243	10
N734	10
N105	10
N673	10
N522	10
N483	10
N1132	10
N198	10
N301	10
N388	10
N30	10
N509	10
N600	10
N370	10
N572	10
N755	10
N220	10
N260	10
N759	10
N1092	10
N766	10
N1003	10
N52	10
N692	10
N936	10
N63	10
N866	10
N445	10
N459	10
N1013	10
N985	10
N611	10
N146	10
N300	10
N920	10
N78	10
N1094	10
N319	10
N373	10
N458	10
N829	10
N1195	10
N1184	10
N1057	10
N857	10
N899	10
N750	10
N40	10
N943	10
N196	10
N540	10
N1225	10
N1177	10
N1093	10
N3	10
N984	10
N1201	10
N613	10
N1067	10
N456	10
N28	10
N172	10
N95	10
N539	10
N69	10
N690	10
N1071	10
N934	10
N702	10
N729	10
N987	10
N83	10
N629	10
N47	10
N263	10
N556	10
N342	10
N669	10
N369	10
N869	10
N130	10
N502	10
N1066	10
N249	10
N542	10
N826	10
N1127	10
N793	10
N1078	10
N367	10
N368	10
N115	10
N575	10
N418	10
N233	10
N851	10
N969	10
N886	10
N544	10
N237	10
N658	10
N953	10
N1141	10
N1072	10
N204	10
N708	10
N681	10
N377	10
N517	10
N1010	10
N43	10
N1056	10
N1124	10
N802	10
N643	10
N846	10
N387	10
N117	10
N372	10
N821	10
N778	10
N834	10
N323	10
N983	10
N371	10
N98	10
N341	10
N18	10
N514	10
N329	10
N166	10
N399	10
N520	10
N1027	10
N471	10
N1183	10
N67	10
N885	10
N316	10
N685	10
N598	10
N272	10
N27	10
N782	10
N150	10
N737	10
N592	10
N1175	10
N717	10
N850	10
N1123	10
N1055	10
N53	10
N620	10
N171	10
N711	10
N1049	10
N919	10
N466	10
N1100	10
N338	10
N317	10
N795	10
N145	10
N911	10
N599	10
N714	10
N715	10
N631	10
N425	10
N541	10
N128	10
N144	10
N624	10
N679	10
N796	10
N508	10
N767	10
N1224	10
N345	10
N1121	10
N1168	10
N551	10
N224	10
N606	10
N1226	10
N438	10
N457	10
N279	10
N435	10
N1161	10
N430	10
N730	10
N840	10
N461	10
N947	10
N903	10
N1143	10
N41	10
N1204	10
N439	10
N94	10
N1119	10
N62	10
N1007	10
N1084	10
N93	10
N427	10
N582	10
N749	10
N1030	10
N361	10
N845	10
N176	10
N560	10
N60	10
N481	10
N938	10
N1105	10
N597	10
N977	10
N1045	10
N298	10
N515	10
N1101	10
N398	10
N1016	10
N823	10
N288	10
N1097	10
N843	10
N932	10
N1158	10
N1061	10
N411	10
N626	10
N630	10
N476	10
N972	10
N116	10
N1206	10
N293	10
N1128	10
N668	10
N376	10
N6	10
N610	10
N322	10
N636	10
N132	10
N97	10
N887	10
N134	10
N490	10
N980	10
N58	10
N281	10
N655	10
N1189	10
N616	10
N1103	10
N860	10
N118	10
N1053	10
N286	10
N961	10
N100	10
N142	10
N336	10
N1001	10
N974	10
N44	10
N446	10
N149	10
N1142	10
N1125	10
N982	10
N661	10
N543	10
N827	10
N654	10
N129	10
N536	10
N1239	10
N57	10
N88	10
N127	10
N352	10
N507	10
N89	10
N106	10
N1038	10
N380	10
N348	10
N422	10
N29	10
N276	10
N830	10
N180	10
N493	10
N839	10
N603	10
N549	10
N451	10
N880	10
N147	10
N181	10
N375	10
N448	10
N646	10
N952	10
N5	10
N612	10
N401	10
N290	10
N785	10
N1015	10
N771	10
N269	10
N828	10
N1170	10
N833	10
N892	10
N154	10
N725	10
N570	10
N678	10
N873	10
N831	10
N1026	10
N601	10
N382	10
N689	10
N800	10
N740	10
N853	10
N363	10
N693	10
N403	10
N231	10
N35	10
N327	10
N405	10
N576	10
N741	10
N634	10
N723	10
N190	10
