id,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
N1480,-0.00086010445,-0.008657773,0.008275755,-0.0018791757,-0.0025301662,0.01579703,0.005711697,-0.011733612,0.016312143,-0.010102382,0.0033752113,0.0005992715,-0.0023618892,0.0025670587,0.0038056828,-0.0035155686,0.013331084,-0.0006179789,-0.0039221137,-0.016695384,-1.0785581,0.0033983767,0.0040388107,0.009995927,-0.005202752,0.0032653478,-0.0064441417,1.3102121,0.001559512,0.014783412,0.025527902,0.00511773,-0.0019298691,0.015796993,-0.006786376,0.012951663,-0.00915812,0.0035894844,0.020336853,-0.0031809988,0.004822358,0.007591163,-0.0013402037,-0.013535603,0.008166858,-0.0018634568,-0.011764602,-0.0009095533,-0.0018081082,-0.008175807,-0.02270695,0.0027480244,-0.004211202,0.005824191,0.0017439829,-0.29559445,-0.03926998,-0.001942447,-0.00049999496,0.6985147,-0.0021860956,-0.005464465,0.031297095,0.015590674
N4301,-0.0052684047,-0.010868678,0.0038074907,-0.008234916,0.012922102,0.0118001485,0.0149772875,-0.013573198,0.025574045,0.010363694,-0.0053694025,-0.009096189,-0.004903772,0.0067657903,0.0031919058,0.011102315,0.011120098,-0.010581273,0.004093761,-0.014252427,1.7311561,0.019187238,-0.014152399,0.0133832535,0.011334485,0.00776791,0.00017712325,0.0608768,-0.02577675,0.009823388,0.00930873,0.0061402367,-0.020176033,0.0027759154,-0.009914417,-0.0052566575,-0.024035776,-0.016307311,0.008087375,-0.0006412098,0.009609045,0.010615998,0.006268882,-0.022103908,0.02414411,-0.006203229,-0.009791923,0.0076363045,-0.0030987933,-0.0038581912,-0.013245599,0.0055381195,0.008883764,-0.0015338148,-0.0036381255,0.3279923,-0.016775755,0.021816097,-0.003764513,1.4221926,-0.006533176,-0.013173881,0.009482307,0.0059690117
N1882,0.0048484798,-0.020166289,-0.008320711,-0.0046635056,0.0014798597,-0.008300428,0.010596964,-0.0038693282,0.019233441,0.0145269595,-0.021236755,0.018310685,0.0028248208,0.0063325125,0.003929225,0.010722567,0.01203078,0.010198293,-0.003011352,-0.03859633,2.8972318,0.013049613,-0.014627459,0.012408376,-0.011330238,0.0023221502,-0.017205851,1.7682335,0.0018540787,0.0008162675,-0.0019011577,0.012649715,-0.019114718,0.0050591985,0.004407331,-0.023074022,-0.020879056,-0.0049295165,-0.0044329055,-0.011072771,0.009379165,0.0119914925,-0.0051107868,-0.009302525,0.025465677,0.020859547,-0.020360315,0.015440491,0.004478365,-0.001208322,-0.0057424256,-0.0085406685,0.0024864662,-0.010080433,0.0148696145,1.7886286,-0.009511229,0.0066433693,-0.022296008,0.45570356,0.01316244,0.0042030653,0.002554081,-0.011596736
N4105,0.009361661,-0.01598663,-0.0075131827,-0.008596361,0.004157592,-0.007521254,0.010757403,-0.0039379746,0.018795563,0.01995517,-0.022978432,0.027267164,0.0034398572,0.0047295396,0.0018031509,0.014942007,0.01747216,0.009767009,-0.0023700043,-0.035471637,3.163733,0.012706416,-0.01985528,0.0072272182,-0.012614216,0.008257345,-0.018325977,1.701827,0.0012618995,0.00024923444,-0.010981234,0.020109402,-0.028718552,0.0059338273,0.00383907,-0.02876457,-0.025234165,-0.007692299,-0.009161799,-0.012115717,0.004476302,0.0120322695,-0.0070638345,-0.0122716455,0.033913247,0.02591786,-0.019138277,0.022822877,0.0037219787,0.006319401,-0.004932395,-0.010378698,0.004319594,-0.011324419,0.014986358,1.7435695,0.0016520858,0.014738441,-0.029075226,0.82497734,0.012523054,0.003400574,0.001089174,-0.012724664
N2878,0.0068258597,-0.017154517,-0.005258402,-0.006608938,0.0037807666,-0.008959754,0.0075607854,-0.003632651,0.020113051,0.021312097,-0.023938457,0.022887513,0.0062593017,0.0040618577,0.000549132,0.0144513585,0.015761446,0.010580033,-0.0027807704,-0.03337917,3.079889,0.012243325,-0.018298203,0.01010413,-0.0073437276,0.008378345,-0.016160019,1.6706023,0.00064994977,-0.0022656107,-0.006548439,0.017634083,-0.025376745,0.002673864,0.0027947798,-0.028058238,-0.024962144,-0.0072636493,-0.010585394,-0.014227467,0.0068220543,0.008826079,-0.0050442945,-0.009181032,0.02945872,0.022753183,-0.018562092,0.022481833,0.0036660195,0.0033327886,-0.0077299597,-0.010901493,0.0070439964,-0.00914305,0.017227266,1.95948,0.0014052079,0.011920171,-0.024899477,0.6954151,0.014163616,0.0021446398,-0.00043279387,-0.015580684
N3294,0.0036990442,-0.028900731,0.009251644,-0.005834479,-0.0038748211,-0.015185151,0.0031947703,-0.0070528556,0.03038186,0.00749727,0.0015410808,0.002111989,0.01778623,0.011139427,0.0025644146,0.009210431,-0.0002861852,-0.0031133406,-0.0017532869,-0.033686053,2.4451935,0.0154309515,-0.0032983986,0.013836931,-0.00017551698,0.010284302,-0.020688033,1.4722724,-0.0075472686,-0.006416115,0.01757955,0.0041036885,-0.012791065,0.011344903,-0.017210554,-0.013717391,-0.014080097,-0.011906274,0.0035808682,-0.009656829,0.0058619916,0.0041768737,-0.013210611,-0.019878332,0.01877787,5.056174e-05,-0.021396937,0.014182587,-4.7414684e-05,-0.016427219,-0.015115321,-0.0090712495,0.0010981495,0.0011562405,0.016945202,-0.3099041,-0.032935344,0.005467444,-0.004362587,-0.5650555,0.010304084,-0.0027765515,0.016006963,-0.0060285223
N4337,0.006387387,-0.035799466,0.0054934225,0.0020262063,-0.0049965745,-0.015353391,-0.0015924845,-0.0022188076,0.035263665,0.0075573525,-0.010177389,0.006040999,0.023248667,0.008881451,0.00011228304,0.007238608,0.0012465519,-0.0035948397,-0.014371825,-0.030036557,2.7283921,0.0052080685,-0.008034712,0.012165591,0.0018311662,0.0057537053,-0.021368304,2.1158535,-0.004801461,-0.004960365,0.0061540715,5.1132465e-05,-0.008260354,0.013491494,-0.02361391,-0.016338004,-0.017934514,-0.007521105,0.002143194,-0.011135316,0.003933394,0.0036558,-0.0168519,-0.012582856,0.013758221,-0.0004328358,-0.026676781,0.020500425,-0.0006425947,-0.012371759,-0.023966635,-0.010015384,-0.0027360623,0.0007971106,0.018318923,-0.095734805,-0.027634652,0.0030388525,-0.009543391,-0.7235704,0.012458936,0.0042228214,0.016953647,-0.009900996
N2376,0.0140195945,-0.008792352,-0.0060766735,0.0069332565,0.015956188,0.0028666025,0.01165104,-0.015258522,0.030491022,0.008810336,-0.008703779,0.02109761,-0.00093198323,-0.005915931,0.024966592,0.010194839,0.038068734,0.018395353,-0.022103569,-0.044956412,1.6642623,0.00928294,-0.023105917,0.004349916,-0.009504706,-0.012107543,-0.0071064397,2.8631454,-0.0054894397,0.019047191,-0.0063866875,0.023258086,-0.03774009,0.023307389,-0.003045636,-0.01981378,-0.022668028,-0.016063077,0.00917595,-0.0014783774,-0.0039678686,0.029037243,-0.0066567454,-0.033945136,0.045604732,0.015510121,-0.00431172,0.025428517,0.015646469,0.014332388,-0.011231793,0.015658658,-0.0102939885,-0.00878972,-0.020053769,-0.25877386,-0.033767406,0.029095586,-0.05297568,2.4054441,-0.004131778,-0.014344136,0.03965908,0.018992273
N2563,0.007451333,-0.0052296678,-0.006297874,0.014295065,0.015582179,0.0032355664,0.00987176,-0.021136265,0.0329177,0.010229652,-0.012898145,0.014993802,-0.00064954854,-0.006168475,0.022715958,0.00878965,0.036164757,0.017172357,-0.026979132,-0.040565986,1.2780252,0.016830022,-0.026714522,0.0039287237,-0.00867499,-0.015906628,-0.0020762295,3.0295575,-0.009138149,0.021665815,-0.00026151765,0.028813014,-0.036731318,0.018622309,-0.00497903,-0.022025395,-0.018094374,-0.019308724,0.011566994,0.006249444,-0.0021766447,0.0319165,-0.00575946,-0.030253258,0.040944606,0.018970147,-0.004464562,0.02436946,0.02157866,0.015127845,-0.0186072,0.013241208,-0.0018912478,-0.0091330465,-0.022808982,0.29333863,-0.039612968,0.028989835,-0.043588836,2.2380638,-0.0071927905,-0.012535395,0.04169364,0.017428853
N509,0.017103435,-0.009335099,-0.007071883,0.006113677,0.012994526,0.00046730007,0.0148156015,-0.016354892,0.026780454,0.008232581,-0.0071331286,0.02247003,0.00055975706,-0.0038224137,0.024716085,0.012123501,0.029886838,0.014874876,-0.019282151,-0.043821856,1.8180141,0.011788851,-0.022581773,0.0032704447,-0.010694874,-0.009852569,-0.011548334,2.6289597,-0.0066345483,0.014943309,-0.012335464,0.0205136,-0.03652673,0.021707784,-0.0011510513,-0.020941306,-0.019267585,-0.017400453,0.009606362,0.00027843352,-0.006246994,0.02619692,-0.0062009646,-0.034112517,0.04559049,0.013656201,-0.0063882703,0.02288402,0.013911266,0.015583681,-0.007093016,0.011990352,-0.009186709,-0.008620691,-0.017887881,-0.12947518,-0.029484084,0.032564625,-0.050577275,2.1937711,-0.0032761733,-0.0134553835,0.032338373,0.015771082
N3525,0.016202057,-0.006470916,-0.004690238,0.0029702086,0.017392576,0.00057592423,0.014375729,-0.010455237,0.024283431,0.009400228,-0.0135668665,0.01905325,-0.0035586702,-0.005932964,0.02425441,0.0115678655,0.03240127,0.015370847,-0.019503197,-0.04406919,1.9205971,0.008395411,-0.025226025,0.0033050054,-0.0088795265,-0.012658177,-0.009879654,2.600128,-0.0027952034,0.016520875,-0.011654798,0.023116028,-0.03936341,0.025963536,-0.0032423127,-0.020878373,-0.02319828,-0.01921775,0.006726508,-0.002220348,-0.0055638687,0.030402564,-0.010716998,-0.033613622,0.04612898,0.015472815,-0.0038489331,0.026803525,0.013287991,0.013413346,-0.006246296,0.011504663,-0.010563821,-0.012312619,-0.015767056,-0.24368447,-0.029936261,0.0293509,-0.050107405,2.2903225,-0.0027038036,-0.013863614,0.031099722,0.016263505
N3930,-0.006127493,-0.007066381,0.0086034015,-0.0042815115,0.007792022,0.017729582,0.0057583214,-0.017829495,0.021174595,0.0058238115,0.008634253,-0.014307556,-0.007931208,-0.00026609376,0.0019837385,0.004887379,0.0076030367,-0.0080385925,0.0061062635,-0.0004392278,0.022059666,0.012913254,-0.005262549,0.008601576,0.019004159,0.009080937,0.0033172397,-0.09464191,-0.023569023,0.0057035894,0.01806337,0.0032079136,-0.01496089,0.009192132,-0.013220343,0.007557327,-0.018384613,-0.012145052,0.014703343,0.0049628727,0.010260127,0.015144032,0.0063847466,-0.021993777,0.022067767,-0.011360666,-0.0054079727,0.005813953,-0.0058364687,-0.0038231018,-0.015402414,0.0031012166,0.0060048155,0.0014796795,-0.0048980233,-0.23893625,-0.027659457,0.018100793,0.00031359412,0.7398732,-0.0048588775,-0.01673468,0.018004764,0.015919417
N1082,0.00247723,-0.029412132,0.0009771202,-0.0014420429,-0.004509484,-0.011618498,0.007442835,-0.0052324138,0.03113473,0.0026087551,-0.0030779133,-0.0043579717,0.012400213,0.0133823175,0.0065467507,0.005274861,0.00072110916,-0.00019142007,-0.005467482,-0.03421832,2.3088927,0.01219109,-0.0038017505,0.017965963,-0.0008645364,-0.0036577547,-0.018120054,1.7105039,-0.007838736,0.00095653976,0.018999588,-0.0015390848,-0.0049736546,0.015146168,-0.01360846,-0.010178249,-0.01436619,-0.008431873,0.009905389,-0.009771346,0.0060607535,0.008906241,-0.015285803,-0.016128538,0.014964399,-0.0012076675,-0.021862943,0.01247131,0.005010847,-0.016650453,-0.016583791,-0.006419012,-0.004851655,-0.004731512,0.009214915,-0.014003137,-0.039791893,0.0015306377,-0.0043673227,-0.56798893,0.008051982,-0.00086998654,0.018768348,-0.0039295214
N4859,-0.0038566426,-0.008267255,0.0009533116,0.00352545,0.0018325382,0.010277714,0.011372446,-0.012828292,0.018986223,-0.0002541642,0.0007649685,-0.0017236723,-0.009063626,0.0012763095,0.004249927,0.0009812111,0.013072945,0.0043223263,-0.005035662,-0.023427952,0.42261863,0.013840116,-0.0074376706,0.011339095,-0.0018976962,-0.006107558,-0.0020024253,1.2960088,-0.0018476109,0.016893882,0.020600587,0.010722704,-0.011099831,0.019704152,-0.0010432482,0.0037515773,-0.01219668,-0.008895447,0.016594857,-0.0007063796,0.004444682,0.014403719,-0.005337266,-0.015980612,0.014161147,0.0014897274,-0.01069089,0.007037273,0.005107775,-0.0063839327,-0.019442458,0.0039368337,-0.000594975,-0.008702189,-0.0016559554,0.021897156,-0.036379904,0.009964658,-0.0041694557,0.90494865,-0.004939609,-0.008578144,0.024767287,0.012916231
N2305,-0.008450048,-0.018087218,0.0001958055,-0.0023500063,0.004904334,0.008109627,0.013769157,-0.010620357,0.019926805,0.0046274154,0.0017368571,0.0012345955,-0.008500786,0.009120064,0.00050594704,0.005384487,0.0038946874,-0.0011881634,0.00015249467,-0.019388337,1.2713184,0.019987391,-0.0055471426,0.010678327,-0.0018906655,0.004915296,-0.0067865024,0.42490393,-0.009364191,0.011940607,0.008061056,0.0043871896,-0.0054970263,0.003501999,0.0007205802,-0.0014987855,-0.019606205,-0.0061608753,0.0041274894,-0.0048218635,0.0046489383,0.007073118,0.00070895185,-0.014199442,0.013594958,-0.002755403,-0.01730378,0.0041594272,-0.00047574533,3.1486452e-05,-0.013334568,-0.003551646,0.0003571632,-0.009461587,0.0006821839,1.1934545,-0.016943889,0.007761995,0.0055276616,0.68028975,0.0033024293,-0.0035612555,0.007402311,-0.0041770064
N1870,0.01119942,-0.0053067342,-0.006137452,0.010421972,0.017231852,0.002817915,0.011726348,-0.014231828,0.030170668,0.0095572965,-0.01680592,0.01918835,-0.0008486317,-0.0071542133,0.024355805,0.0106095355,0.04347409,0.018015377,-0.02873693,-0.042030793,1.3228868,0.008907694,-0.028269583,-0.00048207535,-0.011990539,-0.017270194,-0.00527288,3.0734808,-0.0032900814,0.025303263,-0.007110191,0.029341223,-0.03774315,0.02269545,-0.008675241,-0.022597253,-0.023606025,-0.018176373,0.007858564,0.00311208,-0.004922099,0.037875928,-0.009382895,-0.02944316,0.044242546,0.021202732,-0.0030678243,0.027501766,0.021224104,0.020531168,-0.016925916,0.016960597,-0.010650874,-0.010155301,-0.02366551,0.04173893,-0.035296112,0.027695118,-0.049591746,2.297322,-0.006420319,-0.009028454,0.04411064,0.021703636
N3613,-0.0074514654,-0.021526191,-0.00842678,0.01548868,0.0049819117,0.009409996,0.008058716,-0.0065330965,0.027867056,-0.0022408715,-0.022693614,-0.0007817788,-0.0028807856,-5.877038e-05,0.0067604333,-0.0063126865,0.016763264,0.00022686472,-0.031773157,-0.020145865,0.85844827,-0.0024733958,-0.01519813,0.011623136,-0.0063335896,-0.013120891,-0.009286906,2.6738257,0.007784493,0.019714236,-0.0024121176,-0.008581816,0.003748899,0.0122616915,-0.014136817,0.0025300637,-0.021128591,0.004425707,0.011099055,-0.0027395159,0.007907967,0.017262481,-0.00029633468,-0.0036516024,-0.0052136714,0.0001706394,-0.01596563,0.0036850886,0.0010730919,0.00698861,-0.029443756,0.0061965813,-0.012451559,0.0028414496,-0.0021670493,0.62680614,-0.03364366,-0.007660954,-0.007744396,-0.048212275,0.0053217784,0.013388071,0.02521859,0.013558934
N1498,0.0054675364,-0.0066154697,-0.005706451,0.008573727,0.0146252485,0.0033020638,0.0052198307,-0.01708097,0.033473276,0.011686124,-0.016232753,0.016476294,0.00317087,-0.0057667545,0.021145884,0.010580439,0.042685192,0.0204613,-0.025099399,-0.0379956,1.3381217,0.008559672,-0.025495943,0.003408404,-0.008662143,-0.016652666,0.00037525062,2.9612737,-0.011637537,0.021725742,0.0009065772,0.032259025,-0.03586736,0.01572681,-0.0075151953,-0.02386003,-0.023092307,-0.013441002,0.005006563,0.0017912387,0.00076487305,0.033360712,-0.005455801,-0.02460059,0.046498798,0.024753304,-0.0045356588,0.025666958,0.024729308,0.018344661,-0.017013835,0.014481845,-0.0052536987,-0.00979285,-0.022909945,0.40403858,-0.032215286,0.027460832,-0.04573742,2.3007576,-0.0061952933,-0.008363195,0.042280525,0.01660052
