SequenceName	ClusterNumber
N3297	1
N2853	1
N1908	1
N4099	1
N3836	1
N2731	1
N3495	1
N2855	1
N1840	1
N2424	1
N1621	1
N80	1
N2416	1
N4631	1
N3389	1
N2881	1
N2040	1
N233	1
N4272	1
N4034	1
N2794	1
N2677	1
N1083	1
N969	1
N4584	1
N4398	1
N1892	1
N73	1
N1677	1
N2204	1
N3398	1
N3162	1
N2168	1
N4720	1
N1776	1
N1753	1
N1401	1
N999	1
N2224	1
N1096	1
N3981	1
N3980	1
N3968	1
N4747	1
N2242	1
N4050	1
N340	2
N1597	2
N2076	2
N1488	2
N4289	2
N1219	2
N4333	2
N2124	2
N183	2
N3602	2
N3705	2
N1263	2
N4548	2
N3804	2
N4121	2
N1390	2
N1039	2
N873	2
N987	2
N3939	2
N608	2
N2854	2
N539	2
N1636	2
N4843	3
N4535	3
N193	3
N4345	3
N2442	3
N3349	3
N3178	3
N2456	3
N3489	3
N2178	3
N3016	3
N1684	3
N2726	3
N1370	3
N1850	3
N3629	3
N3234	3
N2779	3
N369	3
N2651	3
N1763	3
N3775	3
N2414	3
N3853	3
N764	3
N1109	3
N825	3
N103	3
N4288	3
N3561	3
N467	3
N2387	3
N4391	3
N1197	3
N3402	3
N2568	3
N3608	3
N1824	3
N4337	3
N3864	3
N3799	3
N4330	3
N1846	3
N4312	3
N4206	3
N4004	3
N2017	3
N4096	3
N3541	3
N1690	3
N805	3
N985	3
N4765	3
N4946	3
N2611	3
N2965	3
N2521	3
N4163	3
N1201	3
N89	3
N3245	3
N2105	3
N4671	3
N2723	3
N266	3
N3990	3
N557	3
N1304	3
N4374	3
N4864	3
N4002	3
N3885	3
N1511	3
N994	3
N4895	3
N4807	3
N1251	3
N1634	3
N1202	3
N1722	3
N3031	3
N95	3
N4582	3
N2325	3
N3439	3
N4662	3
N1877	3
N4267	3
N3272	3
N4640	3
N335	3
N3956	3
N3319	3
N702	3
N3810	3
N2644	3
N1004	3
N2663	3
N4132	3
N3822	3
N3726	3
N2133	3
N4331	3
N4015	3
N2541	3
N1649	3
N4471	3
N624	3
N1611	3
N494	3
N4948	3
N1773	3
N1244	3
N3982	3
N3711	3
N2766	3
N1577	3
N1295	3
N947	3
N631	3
N2970	3
N2713	3
N4319	3
N640	3
N3832	3
N3856	3
N2710	3
N885	3
N452	3
N2135	3
N1246	3
N1691	3
N3750	3
N2480	3
N2238	3
N3816	3
N2375	3
N1554	3
N4357	3
N26	3
N1260	3
N3304	3
N1117	3
N1871	3
N1305	3
N28	3
N1478	3
N336	3
N2543	3
N447	3
N3467	3
N2518	3
N3089	3
N1072	3
N392	3
N215	3
N3357	3
N896	3
N4689	3
N4622	3
N1784	3
N3204	3
N1289	3
N374	3
N4880	3
N1266	3
N3397	3
N267	3
N4945	3
N3250	3
N3165	3
N328	3
N3202	3
N3053	3
N1391	3
N481	3
N424	3
N1827	3
N313	3
N3104	3
N4998	3
N3811	3
N4184	3
N1541	3
N4538	3
N1848	3
N4841	3
N1239	3
N134	3
N3927	3
N4032	3
N3079	3
N4138	3
N1965	3
N857	3
N3390	3
N1164	3
N931	3
N2157	3
N1969	3
N3562	3
N4696	3
N2494	3
N3362	3
N4675	3
N995	3
N1508	3
N2922	3
N2182	3
N3633	3
N550	3
N1629	3
N1416	3
N2257	3
N3899	3
N3425	3
N2245	3
N239	3
N4218	3
N3212	3
N1642	3
N1638	3
N3563	3
N4166	3
N3917	3
N2826	3
N2288	3
N2197	3
N2987	3
N2169	3
N4233	3
N149	3
N3833	3
N756	3
N3190	3
N2739	3
N2589	3
N4869	3
N3254	3
N4155	3
N1203	3
N2590	3
N2277	3
N1091	3
N4045	3
N3449	3
N350	3
N3903	3
N2506	3
N1768	3
N3240	3
N575	3
N3514	3
N79	3
N1573	3
N1056	3
N961	3
N4556	3
N2435	3
N4624	3
N75	3
N1596	3
N1884	3
N929	3
N1793	3
N1693	3
N4831	3
N3331	3
N4526	3
N2973	3
N3047	3
N4779	3
N4144	3
N432	3
N3013	3
N1900	3
N3069	3
N4193	3
N4490	3
N1644	3
N2509	3
N4983	3
N4026	3
N1152	3
N4399	4
N2661	4
N2045	4
N4519	4
N1296	4
N316	4
N2814	4
N381	4
N4780	4
N4352	4
N1299	4
N4489	4
N1174	4
N3619	4
N2170	4
N3893	4
N4493	4
N2898	4
N1712	4
N93	4
N3950	4
N3433	4
N1398	4
N1068	4
N3437	4
N2549	4
N4709	4
N3741	4
N46	4
N1974	4
N1806	4
N4314	4
N775	4
N536	4
N1044	4
N574	4
N4512	4
N232	4
N2228	4
N578	4
N4291	4
N3252	4
N3725	4
N3871	4
N4474	4
N1539	4
N1492	4
N2559	4
N4571	4
N4422	4
N3063	4
N639	4
N2274	4
N3655	4
N2300	4
N9	4
N1678	4
N56	4
N2284	4
N461	4
N4649	4
N3594	4
N4929	4
N3458	4
N2265	4
N4137	4
N2458	4
N4819	4
N2449	4
N4757	4
N298	4
N3314	4
N2202	4
N3587	4
N2795	4
N205	4
N3734	4
N2733	4
N22	4
N1058	4
N498	4
N168	4
N1301	4
N2443	4
N538	4
N1089	4
N3529	4
N4240	4
N4524	4
N3116	4
N2724	4
N2469	4
N1257	4
N3154	4
N1600	4
N690	4
N1950	4
N584	4
N3282	4
N4626	4
N2095	4
N105	4
N2051	4
N3958	4
N3237	4
N4180	4
N4573	4
N368	4
N4022	4
N181	4
N3812	4
N1228	4
N4982	4
N1619	4
N1676	4
N731	4
N3447	4
N528	4
N1671	4
N2052	4
N3704	4
N3293	4
N1118	4
N4389	4
N2338	4
N1835	4
N1383	4
N4557	4
N763	4
N2578	4
N616	4
N4778	4
N2957	4
N3572	4
N3928	4
N951	4
N3339	4
N133	4
N3365	4
N3866	4
N2328	4
N651	4
N2348	4
N3406	4
N2075	4
N1788	4
N620	4
N3129	4
N4127	4
N3260	4
N5000	4
N2684	4
N2807	4
N4212	4
N465	4
N2038	4
N2653	4
N1650	4
N4951	4
N889	4
N3058	4
N2581	4
N2620	4
N1701	4
N3948	4
N2191	4
N4890	4
N1180	4
N3625	4
N2370	4
N4000	4
N3900	4
N401	4
N145	4
N2431	4
N4221	4
N2702	4
N1804	4
N4154	4
N4647	4
N4828	4
N2610	4
N3133	4
N1875	4
N2928	4
N2891	4
N4588	4
N3506	4
N2838	4
N4247	4
N1519	4
N3954	4
N2505	4
N1959	4
N3462	4
N1026	4
N2742	4
N1123	4
N4788	4
N4953	4
N1108	4
N2352	4
N370	4
N4074	4
N1982	4
N875	4
N4118	4
N2165	4
N3684	4
N3333	4
N3017	4
N925	4
N2044	4
N1529	4
N1126	4
N2312	4
N954	4
N560	4
N2276	4
N2688	4
N711	4
N3922	4
N1622	4
N3719	4
N4782	4
N3170	4
N395	4
N106	4
N4044	4
N3778	4
N3801	4
N1172	4
N663	4
N4676	4
N4653	4
N3646	4
N2085	4
N3759	4
N582	4
N4162	4
N739	4
N3798	4
N3827	4
N2517	4
N1893	4
N4791	4
N3150	4
N2487	4
N2580	4
N2147	4
N1380	4
N236	4
N3134	4
N1002	4
N459	4
N3294	4
N4324	4
N436	4
N3387	4
N2562	4
N2397	4
N2665	4
N2187	4
N4451	4
N1064	4
N1045	4
N487	4
N3984	4
N2876	4
N337	4
N4602	4
N1254	4
N4077	4
N3059	4
N2796	4
N1415	4
N3568	4
N2883	4
N25	4
N1438	4
N514	4
N299	4
N4995	4
N4329	4
N876	4
N2353	4
N4011	4
N1466	4
N2121	4
N1100	4
N1279	4
N4320	4
N1356	4
N3179	4
N62	4
N4875	4
N2856	4
N3070	4
N1315	4
N4619	4
N3132	4
N1009	4
N3442	4
N1946	4
N4707	4
N3945	4
N2391	4
N4771	4
N4920	4
N4743	4
N1749	4
N593	4
N415	4
N1626	4
N4342	4
N3809	4
N2669	4
N3579	4
N772	4
N1853	4
N2388	4
N414	4
N4914	4
N2034	4
N941	4
N1379	4
N4595	4
N3055	4
N3630	4
N2994	4
N4553	4
N742	4
N685	4
N3844	4
N4718	4
N4494	4
N4462	4
N1326	4
N2535	4
N4587	4
N524	4
N484	4
N1159	4
N910	4
N4885	4
N2977	4
N2616	4
N4246	4
N4014	4
N245	4
N4125	4
N1076	4
N2533	4
N184	4
N1658	4
N4207	4
N3473	4
N3890	4
N2925	4
N1655	4
N1297	4
N4024	4
N2700	4
N2296	4
N4568	4
N2380	4
N1073	4
N3674	4
N127	4
N3636	4
N398	4
N1351	4
N1361	4
N4230	4
N3076	4
N3637	4
N3006	4
N137	4
N1870	4
N1615	4
N1487	4
N2817	4
N86	4
N4934	4
N1663	4
N4903	4
N3214	4
N4814	4
N3033	4
N916	4
N2429	4
N2201	4
N1016	4
N4939	4
N1760	4
N804	4
N343	4
N2383	4
N1821	4
N3034	4
N4341	4
N3121	4
N2603	4
N4861	4
N4739	4
N3692	4
N1800	4
N4311	4
N306	4
N165	4
N1565	4
N502	4
N3508	4
N870	4
N4898	4
N1780	4
N2311	4
N389	4
N3752	4
N3588	4
N998	4
N470	4
N3343	4
N4687	4
N1394	4
N1066	4
N308	4
N2131	4
N4635	4
N48	4
N1062	4
N4900	4
N3802	4
N3327	4
N1825	4
N2914	4
N754	4
N4528	4
N3846	4
N3838	4
N4633	4
N721	4
N150	4
N4416	4
N3142	4
N3007	4
N2664	4
N4111	4
N3923	4
N4008	4
N218	4
N4703	4
N1229	4
N710	4
N1332	4
N3688	4
N570	4
N4846	4
N71	4
N942	4
N3552	4
N2629	4
N989	4
N4959	5
N3873	5
N387	5
N4382	5
N3075	5
N1896	5
N252	5
N3787	5
N4150	5
N4062	5
N537	5
N1934	5
N1521	5
N4100	5
N3008	5
N78	5
N4865	5
N261	5
N144	5
N1322	5
N2981	5
N3573	5
N2374	5
N3599	5
N4491	5
N726	5
N472	5
N938	5
N3764	5
N3431	5
N4095	5
N2185	5
N2607	5
N229	5
N4712	5
N4295	5
N2275	5
N935	5
N77	5
N4746	5
N3624	5
N1484	5
N1869	5
N2132	5
N4446	5
N3028	5
N1183	5
N1925	5
N4605	5
N774	5
N4003	5
N843	5
N1672	5
N3902	5
N839	5
N897	5
N2193	5
N1428	5
N3464	5
N4616	5
N3026	5
N2633	5
N332	5
N4131	5
N3908	5
N2988	5
N2159	5
N1157	5
N2980	5
N1213	5
N3735	5
N4987	5
N4761	5
N3666	5
N1740	5
N2659	5
N2537	5
N2782	5
N829	5
N3351	5
N3651	5
N468	5
N3969	5
N139	5
N4387	5
N2134	5
N1099	5
N797	5
N142	5
N4521	5
N4381	5
N1582	5
N780	5
N552	5
N2605	5
N4259	5
N3404	5
N3305	5
N391	5
N2477	5
N3647	5
N288	5
N555	5
N2727	5
N2153	5
N2990	5
N2929	5
N4427	5
N544	5
N2691	5
N1772	5
N384	5
N4918	5
N1437	5
N2451	5
N2094	5
N3172	5
N3125	5
N2526	5
N4079	5
N1918	5
N4497	5
N4406	5
N1557	5
N425	5
N2359	5
N3412	5
N375	5
N2619	5
N646	5
N815	5
N3171	5
N2192	5
N1253	5
N2864	5
N2737	5
N4235	5
N2946	5
N4191	5
N1331	5
N3550	5
N3502	5
N3117	5
N138	5
N1683	5
N1018	5
N2699	5
N2077	5
N1985	5
N2566	5
N3910	5
N1448	5
N1713	5
N817	5
N3157	5
N1442	5
N2822	5
N2334	5
N1028	5
N1930	5
N382	5
N1373	5
N3965	5
N202	5
N2503	5
N2676	5
N4532	5
N4234	5
N701	5
N900	5
N3244	5
N271	5
N2760	5
N766	5
N3940	5
N3301	5
N1536	5
N102	5
N1463	5
N426	5
N598	5
N3909	5
N3749	5
N507	5
N4878	5
N294	5
N4585	5
N1570	5
N2628	5
N1707	5
N902	5
N4339	5
N3960	5
N917	5
N241	5
N587	5
N4947	5
N2875	5
N4174	5
N1702	5
N428	5
N3308	5
N2026	5
N4321	5
N3549	5
N3733	5
N1161	5
N4981	5
N4513	5
N2292	5
N4413	5
N816	5
N4269	5
N1603	5
N1571	5
N4167	5
N2072	5
N2386	5
N2173	5
N2367	5
N862	5
N2099	5
N4936	5
N2246	5
N3169	5
N4685	5
N1128	5
N4655	5
N3617	5
N3156	5
N451	5
N3166	5
N654	5
N3944	5
N4546	5
N2129	5
N4056	5
N68	5
N3751	5
N963	5
N55	5
N1860	5
N83	5
N1585	5
N227	5
N187	5
N1855	5
N943	5
N760	5
N3993	5
N1778	5
N125	5
N4126	5
N1665	5
N4944	5
N3825	5
N1711	5
N1994	5
N1791	5
N527	5
N1364	5
N599	5
N4695	5
N2954	5
N4931	5
N3423	5
N4883	5
N1501	5
N2426	5
N1310	5
N4956	5
N143	5
N3432	5
N1368	5
N365	5
N1856	5
N2181	5
N3354	5
N3277	5
N2037	5
N3995	5
N669	5
N2626	5
N1268	5
N231	5
N4215	6
N2552	6
N4654	6
N1727	6
N411	6
N466	6
N2584	6
N1721	6
N3695	6
N2211	6
N4681	6
N3097	6
N965	6
N3566	7
N3279	7
N3858	7
N2572	7
N4109	7
N1639	7
N4401	7
N1212	7
N1290	7
N276	7
N1761	7
N2492	7
N1606	7
N996	7
N589	7
N4729	7
N644	7
N679	7
N4795	7
N255	7
N1148	7
N2	7
N2712	7
N1951	7
N4403	7
N2944	7
N694	7
N3313	7
N3221	7
N3296	7
N1911	7
N2096	7
N553	7
N783	7
N1434	7
N483	7
N932	7
N4065	7
N3786	7
N3558	7
N4507	7
N1689	7
N882	7
N4664	7
N1196	7
N4522	7
N3309	7
N206	7
N4242	7
N559	7
N2927	7
N3258	7
N3105	7
N1185	7
N3791	7
N3262	7
N1980	7
N2301	7
N3678	7
N2872	7
N4670	7
N2784	7
N4229	7
N4822	7
N2403	7
N1917	7
N2148	7
N696	7
N4236	7
N4186	7
N4204	7
N4344	7
N3061	7
N4536	7
N3585	7
N974	7
N3974	7
N2808	7
N1137	7
N4706	7
N4677	7
N3411	7
N1276	7
N1389	7
N4210	7
N2206	7
N1873	7
N3199	7
N1717	7
N1255	7
N831	7
N3317	7
N1910	7
N1093	7
N967	7
N362	7
N4650	7
N4110	7
N3466	7
N958	7
N2098	7
N3108	7
N2021	7
N4773	7
N4754	7
N3513	7
N2476	7
N1580	7
N3440	7
N4834	7
N516	7
N2371	7
N3642	7
N1218	7
N4567	7
N3788	7
N3072	7
N1269	7
N4902	7
N2433	7
N972	7
N4362	7
N688	7
N4717	7
N1324	7
N3797	7
N2123	7
N1450	7
N1435	7
N4821	7
N4038	7
N3615	7
N1972	7
N351	7
N1968	7
N3829	7
N390	7
N4277	7
N2471	7
N4475	7
N2773	7
N1476	7
N4274	7
N4245	7
N1173	7
N678	7
N1274	7
N4466	7
N732	7
N3755	7
N1868	7
N444	7
N3138	7
N3113	7
N1012	7
N3721	7
N3054	7
N2155	7
N2799	7
N3708	7
N2497	7
N1633	7
N2256	7
N2290	7
N455	7
N4881	7
N2835	7
N1739	7
N122	7
N1569	7
N1964	7
N3201	7
N1210	7
N2871	7
N2673	7
N4741	7
N330	7
N1225	7
N1586	7
N709	7
N2329	7
N1706	7
N1095	7
N2848	7
N3815	7
N400	7
N588	7
N3399	7
N2823	7
N349	7
N2209	7
N4850	7
N4957	7
N1105	7
N633	7
N1240	7
N4518	7
N4060	7
N2716	7
N1155	7
N1051	7
N4463	7
N1618	7
N3326	7
N101	7
N2306	7
N1405	7
N4985	7
N1736	7
N2534	7
N446	7
N2522	7
N3036	7
N1792	7
N81	7
N76	7
N1960	7
N3228	7
N827	7
N61	7
N3854	7
N2474	7
N997	7
N3736	7
N2974	7
N3607	7
N673	7
N304	7
N147	7
N4966	7
N2579	7
N937	7
N2652	7
N2200	7
N2310	7
N2287	7
N2151	7
N4282	7
N3528	7
N1971	7
N3438	7
N182	7
N2467	7
N2326	7
N1774	7
N928	7
N4909	7
N4500	7
N4477	7
N1866	7
N3701	7
N1831	7
N4636	7
N611	7
N2002	7
N1309	7
N2857	7
N360	7
N4371	7
N2305	7
N978	7
N2356	7
N2657	7
N4769	7
N3497	7
N4628	7
N97	7
N4128	7
N273	7
N2571	7
N2687	7
N23	7
N4249	7
N4899	7
N4078	7
N2336	7
N19	7
N4925	7
N4892	7
N1372	7
N4621	7
N1458	7
N2112	7
N4397	7
N2525	7
N3576	7
N562	7
N773	7
N1127	7
N3878	7
N3503	7
N1909	7
N4226	7
N4674	7
N1151	7
N4114	7
