SequenceName	ClusterNumber
N2902	1
N2839	1
N1611	1
N3179	1
N2280	1
N2360	1
N3737	1
N3931	1
N1190	1
N4913	1
N3375	1
N134	1
N943	1
N4799	1
N3837	1
N2098	1
N1239	1
N3228	1
N2545	1
N1333	1
N77	1
N1570	1
N975	1
N3642	1
N386	1
N4223	1
N2270	1
N3959	1
N2026	1
N761	1
N3075	1
N1513	1
N2119	1
N1717	1
N4211	1
N605	1
N4662	1
N2365	1
N3432	1
N4954	1
N1846	1
N3797	1
N4466	1
N328	1
N1460	1
N4174	1
N3969	1
N2854	1
N2246	1
N2056	1
N267	1
N4509	1
N2212	1
N4300	2
N1385	2
N3733	2
N3380	2
N4001	3
N2255	3
N1085	3
N990	3
N2952	3
N1269	3
N668	3
N3535	4
N2565	4
N4128	4
N3381	4
N846	4
N187	4
N2590	4
N1870	4
N468	4
N3112	4
N1569	4
N3835	4
N4335	4
N2053	4
N4030	4
N591	4
N3608	4
N3499	4
N3289	4
N4368	4
N870	4
N3079	4
N916	4
N1200	4
N749	4
N3882	4
N2329	4
N826	4
N3549	4
N2219	4
N2260	4
N3980	4
N2538	4
N4460	4
N3588	4
N26	4
N2610	4
N94	4
N4108	4
N3620	4
N4259	4
N1580	4
N1838	4
N1722	4
N1707	4
N3963	4
N1714	4
N4567	5
N1343	5
N3691	5
N836	5
N3791	5
N1429	5
N854	5
N622	5
N4472	5
N3365	5
N3682	5
N787	5
N3719	5
N3461	5
N322	5
N4024	5
N2753	5
N2037	5
N4329	5
N4720	5
N1536	5
N539	5
N2072	6
N1088	6
N2729	6
N2552	6
N1369	6
N2966	6
N2267	6
N2991	6
N4416	6
N4880	6
N3700	6
N4374	6
N1456	6
N338	6
N4104	6
N3658	6
N1160	6
N3353	6
N2984	6
N842	6
N3193	6
N1550	6
N441	6
N4866	6
N4942	6
N3206	6
N4087	6
N1272	6
N257	6
N2488	6
N82	6
N2979	6
N1098	6
N4481	6
N4292	6
N1807	6
N482	6
N4492	6
N202	6
N3011	6
N2939	6
N4345	6
N92	6
N4815	6
N1666	6
N4692	7
N831	7
N724	7
N3334	7
N154	7
N4860	7
N4673	7
N4879	7
N1250	7
N2352	7
N4789	7
N3785	7
N3556	7
N4316	7
N3828	7
N2668	7
N2637	7
N4941	7
N872	7
N45	7
N612	7
N4642	7
N2568	7
N4042	7
N4665	7
N1647	7
N4962	7
N25	7
N2845	7
N1748	7
N3312	7
N2707	7
N3025	7
N722	7
N921	7
N540	7
N4309	7
N3263	7
N588	7
N1689	7
N728	7
N183	7
N2192	7
N3271	7
N1743	7
N3452	7
N4764	7
N1790	7
N661	7
N47	7
N2492	7
N4213	7
N2856	7
N3393	7
N973	7
N2580	7
N3391	7
N3528	7
N2402	7
N2324	7
N2710	7
N2292	7
N4186	7
N313	7
N1176	7
N4771	7
N3069	7
N2945	7
N634	7
N533	7
N3417	7
N303	7
N2117	7
N2400	7
N996	7
N253	7
N1116	8
N1631	8
N1767	8
N178	8
N3925	8
N1081	8
N1679	8
N3947	8
N4729	8
N1434	8
N2533	8
N4743	8
N3596	8
N1909	8
N950	8
N1563	8
N28	8
N4792	8
N148	8
N2768	8
N3280	8
N1196	8
N190	8
N4735	8
N3141	8
N625	8
N160	8
N3080	8
N38	8
N4886	8
N835	8
N4694	8
N2817	8
N4111	8
N3972	8
N2256	8
N1090	8
N497	8
N2971	8
N3313	8
N1994	8
N3355	8
N1034	8
N4106	8
N3752	8
N73	8
N3924	8
N4934	8
N2782	8
N1706	8
N421	8
N1014	8
N450	8
N3802	8
N4431	8
N245	8
N3047	8
N1981	8
N382	8
N97	8
N944	8
N1175	8
N3139	8
N111	8
N193	8
N4904	8
N1997	8
N2028	8
N1448	8
N282	8
N1032	8
N2599	8
N3287	8
N3264	8
N4725	8
N620	8
N1983	8
N3051	8
N2149	8
N1911	8
N1912	8
N1087	8
N3756	8
N615	8
N974	8
N1678	8
N106	8
N1861	8
N3896	8
N3809	8
N1132	8
N1674	8
N4630	8
N3472	8
N4562	8
N197	8
N4462	8
N735	8
N3566	8
N1145	8
N2522	8
N4098	8
N517	8
N4586	8
N3488	8
N492	8
N2639	8
N936	8
N1703	8
N2958	8
N236	8
N2940	8
N4294	8
N1971	8
N3621	8
N4996	8
N1163	8
N2114	8
N1191	8
N4202	8
N4170	8
N2130	8
N3260	8
N3753	8
N1615	8
N1823	8
N2725	8
N1756	8
N922	8
N4412	8
N2110	8
N1074	8
N2708	8
N763	8
N3635	8
N1735	8
N3348	8
N3305	8
N2730	8
N715	8
N2417	8
N87	8
N3300	8
N1878	8
N1010	8
N4403	8
N1784	8
N3522	8
N1004	8
N185	8
N4039	8
N1189	8
N1863	8
N2476	8
N2109	8
N473	8
N6	8
N4334	8
N917	8
N2657	8
N1889	8
N4242	8
N960	8
N2282	8
N1691	8
N1449	8
N3744	8
N2304	8
N874	8
N4271	8
N1875	8
N4402	8
N641	8
N117	8
N2873	8
N4319	8
N2722	8
N3630	8
N3361	8
N2593	8
N3570	8
N1242	8
N4733	8
N435	8
N2937	8
N2175	8
N3180	8
N2896	8
N3281	8
N2048	8
N4286	8
N2875	8
N1871	8
N1632	8
N4602	8
N4347	8
N1974	8
N3984	8
N4814	8
N3004	8
N3734	8
N2953	8
N1029	8
N3597	8
N1170	8
N543	8
N1480	8
N957	8
N2679	8
N520	8
N2721	8
N512	8
N2470	8
N3151	8
N2088	8
N3388	8
N3409	8
N587	8
N2981	8
N2526	8
N977	8
N570	8
N2781	8
N4422	8
N2062	8
N2419	8
N1659	8
N4613	8
N4930	8
N2871	8
N4959	8
N365	8
N42	8
N4664	8
N4842	8
N684	8
N442	8
N1379	8
N1989	8
N1016	8
N4210	8
N671	8
N390	8
N2027	8
N4599	8
N2283	8
N3328	8
N507	8
N2011	8
N4330	8
N4883	8
N2780	8
N3152	8
N1904	8
N985	8
N3995	8
N4523	8
N2788	8
N3119	8
N2341	8
N4940	8
N143	8
N3097	8
N369	8
N4900	8
N4363	8
N535	8
N965	8
N2302	8
N2555	8
N1753	8
N4644	8
N1192	8
N4674	8
N3459	8
N2241	8
N4175	8
N2355	8
N791	8
N3510	8
N1161	8
N4738	8
N50	8
N4163	8
N1687	8
N91	8
N4430	8
N1231	8
N1839	8
N2882	8
N4049	8
N955	8
N2836	8
N4382	8
N2649	8
N4290	8
N2941	8
N1850	8
N3979	8
N1030	8
N4895	8
N4737	8
N4645	8
N3557	8
N4514	8
N1599	8
N1489	8
N3640	8
N1901	8
N4310	8
N834	8
N79	8
N3581	8
N3626	8
N1484	8
N4800	8
N3629	8
N1609	8
N4464	8
N547	8
N2244	8
N3094	8
N3121	8
N1589	8
N976	8
N4991	8
N4533	8
N2007	8
N1174	8
N1342	8
N109	8
N2776	8
N1853	8
N1738	8
N1059	8
N2071	8
N4989	8
N1699	8
N2767	8
N2944	8
N206	8
N3050	8
N2482	8
N2758	8
N2838	8
N4593	8
N2215	8
N1234	8
N2774	8
N481	8
N391	8
N738	8
N1532	8
N747	8
N609	8
N3680	8
N3624	8
N294	8
N1351	8
N4641	8
N3186	8
N4633	8
N4267	8
N3875	8
N4433	8
N3786	8
N3255	8
N4616	8
N1931	8
N4569	8
N292	8
N4257	8
N4200	8
N3765	8
N502	8
N3804	8
N742	8
N56	8
N1035	8
N4597	8
N2597	8
N2927	8
N2908	8
N2542	8
N1724	8
N1470	8
N2189	8
N963	8
N1723	8
N1099	8
N638	8
N131	8
N1832	8
N4268	8
N2967	8
N1528	8
N263	8
N2173	8
N1141	8
N2581	8
N4785	8
N3099	8
N3343	8
N989	8
N3890	8
N2704	8
N1086	8
N596	8
N1944	8
N1629	8
N1774	8
N2041	8
N2264	8
N601	8
N1000	8
N4265	8
N2932	8
N2877	8
N4727	8
N81	8
N4810	8
N2922	8
N2699	8
N252	8
N4324	8
N1877	8
N1329	8
N3561	8
N3445	8
N2872	8
N1506	8
N1150	8
N727	8
N4653	8
N2554	8
N1441	8
N1921	8
N2690	8
N70	8
N86	8
N1095	8
N3655	8
N3474	8
N1683	8
N737	8
N3833	8
N3357	8
N938	8
N4753	8
N3533	8
N3373	8
N2905	8
N284	8
N4663	8
N2317	8
N2731	8
N4626	8
N2504	8
N1387	8
N4631	8
N3593	8
N104	8
N3704	8
N2434	8
N4421	8
N2263	8
N2325	8
N830	8
N3103	8
N1996	8
N4788	8
N935	8
N4558	8
N4964	8
N1778	8
N1367	8
N4716	8
N1625	8
N268	8
N4953	8
N1411	8
N4762	8
N4818	8
N460	8
N1858	8
N1263	8
N336	8
N4133	8
N2141	8
N2696	8
N1159	8
N3272	8
N1172	8
N3978	8
N3706	8
N639	8
N1499	8
N1843	8
N1372	8
N563	8
N1770	8
N1395	8
N136	8
N4068	8
N1733	8
N2773	8
N4114	8
N3864	8
N1644	8
N1910	8
N4705	8
N4484	8
N2672	8
N2127	8
N4949	8
N3511	8
N2225	8
N4201	8
N2591	8
N1274	8
N4085	8
N3681	8
N1226	8
N3808	8
N2715	8
N166	8
N1643	8
N156	8
