"","dim0","dim1"
"1252",0.352697563326521,-0.259975764911059
"1253",0.348841232217255,-0.274218545208406
"1254",0.251106162318787,-0.229033256513196
"1255",0.206329051606165,-0.221689168352659
"1256",0.226478995350363,-0.256422810814418
"1257",0.333171457165364,-0.493176649990169
"1258",0.257048046016622,-0.458427249002604
"1259",0.169629732645633,-0.41148034449326
"1260",0.248480565980286,-0.461208083366705
"1261",0.223927377217137,-0.495210886458134
"1262",0.351066852256375,-0.519874820401104
"1263",0.367641158687027,-0.53211027895117
"1264",0.378634989548928,-0.528267977653972
"1265",0.380159509304369,-0.547904981490977
"1266",0.387266438107036,-0.563043397990724
"1267",0.38694118964754,-0.579190271721215
"1268",0.389333544792635,-0.590121484211497
"1269",0.380950378470108,-0.60507607769695
"1270",0.322702682423111,-0.605356144661088
"1271",0.408854857127895,-0.631104971577878
"1272",0.462481524367205,-0.656399996810938
"1273",0.408248709050648,-0.638428531783845
"1274",0.313977871726693,-0.586503204857075
"1275",0.401065514455339,-0.591136313890997
"1276",0.433693831821751,-0.58328863764823
"1277",0.463357215601876,-0.603723946230743
"1278",0.377714530343055,-0.577870885090608
"1279",0.362527164536939,-0.552331235905962
"1280",0.357681318417769,-0.538048132185201
"1281",0.398247585022979,-0.558841593657289
"1282",0.506739905363438,-0.567214029033767
"1283",0.422509312254766,-0.540125127806336
"1284",0.406428533715727,-0.547566589182465
"1285",0.579819114128275,-0.578251990390685
"1286",0.616565360695218,-0.605684205447914
"1287",0.631300680005211,-0.623210543728331
"1288",0.088995643936648,-0.365699515458867
"1289",0.0118281004088724,-0.308054734787067
"1290",-0.087407786230904,-0.162051408343888
"1291",-0.183481572811867,-0.357678593328452
"1292",-0.59385326830528,-1.50556293867869
"1293",-0.53962123989335,-1.61511967272641
"1294",-0.518412780111646,-1.71957310473333
"1295",-0.49649090631656,-1.83129809975544
"1296",-0.595201411613985,-1.75682011653507
"1297",-0.65526824798683,-1.64093532593559
"1298",-0.628212001144915,-1.5855106670701
"1299",-0.959836781842472,-1.63858278705847
"1300",-0.959751061832473,-1.63547268536951
"1301",-1.01060302650729,-1.62666277373147
"1302",-1.01944905771049,-1.61966847597135
"1303",-1.01842799106094,-1.61397500330897
"1304",-1.02581460990717,-1.59158129404113
"1305",-1.0081729170016,-1.63500384770776
"1306",-1.03215130417727,-1.6190847003707
"1307",-0.410722699885955,-2.03384299200917
"1308",-0.254665626798248,-2.11525915934489
"1309",-0.191293973724211,-2.18386421735422
"1310",-0.124167942073991,-2.25123399035263
"1311",-0.00154972976532322,-2.35926075012241
"1312",0.112308445738012,-2.50951511161877
"1313",0.235980224755017,-2.73855463985943
"1314",0.308335078327623,-2.95637358297231
"1315",0.344938235104405,-3.01753207374551
"1316",0.397356271163789,-3.0445044723271
"1317",0.409729093021903,-3.03539073449313
"1318",0.418394652568367,-3.03340306051216
"1319",0.422283467235532,-3.00611423266227
"1320",0.464300108834206,-2.96021047875507
"1322",0.419568546251493,-3.06795932798362
"1323",0.426828013622975,-3.09387093069641
"1324",0.428690536224427,-3.1012493202924
"1325",0.42682627245841,-3.08882738400934
"1326",0.448587766798269,-3.09555176231675
"1327",0.488945183421852,-2.99272290841433
"1328",0.402398553775155,-3.0617133081323
"1329",0.439691262861526,-3.15653353378634
"1330",0.431401159093292,-3.10884993587761
"1331",0.436858252700164,-3.13774979922566
"1332",0.421492595720297,-3.35546402123709
"1333",0.413202869100816,-3.39838810152432
"1334",0.405699791823697,-3.44901153163911
"1335",0.407727062600989,-3.4524350572264
"1336",0.406006397945804,-3.45996325623959
"1337",0.413779245940131,-3.38784645546486
"1339",0.402059184398988,-3.39685240496505
"1340",0.424964607794531,-3.38121658381141
"1342",0.431106935311571,-3.09968258931092
"1343",0.41286255705176,-3.10471052416776
"1344",0.447007942164012,-3.08040136129257
"1345",0.457431326322124,-3.06780985816514
"1346",0.474060381370023,-3.06330819828227
"1347",0.367780731296509,-3.20059908119355
"1348",0.367610869311394,-3.31172855024389
"1350",0.498761257515739,-3.51274850316498
"1351",0.37719596099436,-3.21754875774493
"1352",0.396956266395456,-3.19346520232019
"1353",0.360205323905639,-3.29698751286717
"1354",0.326363957278281,-3.20696214916477
"1355",0.310346040183542,-3.00572714639888
"1356",0.333855748568656,-3.16918210475991
"1357",0.339656569137495,-3.29598642377805
"1358",0.339315972550393,-3.36281355814083
"1359",0.32777321348468,-3.46319844379573
"1360",0.341621277882911,-3.51252130411696
"1361",0.357429411511743,-3.48171639484533
"1364",0.312843821832399,-3.46526154934675
"1365",0.343175771949942,-3.38504884837513
"1366",0.358155476105575,-3.50949570646625
"1367",0.362818310238254,-3.52154123969408
"1368",0.344665135848514,-3.28774761028407
"1369",0.384127209054315,-3.30926894442858
"1370",0.397230904167122,-3.30647715806173
"1371",0.391779371142453,-3.34046491689646
"1372",0.386772781574359,-3.33986618882895
"1373",0.379345517079021,-3.34985485988785
"1374",0.367358826515631,-3.37481273640947
"1375",0.276867531115076,-3.05433631681604
"1376",0.326289047830243,-3.2837838761876
"1378",0.369829855776602,-2.22993897965804
"1379",0.0654741936086497,-2.3230326806253
"1380",-0.12842360550689,-2.26105920238594
"1381",-0.126726161841344,-2.27082204537398
"1382",-0.134170274048151,-2.28259727052646
"1383",-0.133172495716106,-2.29656922021176
"1384",-0.101992423492256,-2.29644080659664
"1385",-0.113112245246875,-2.33878456214189
"1386",-0.138486882376138,-2.3686657842998
"1387",-0.143935145473849,-2.38434512614508
"1388",-0.19080724687075,-2.39724678025757
